"Country or Area","Year","Unit","Value","Value Footnotes"
"Algeria","2015","Thousand units","0.14","1"
"Algeria","2014","Thousand units","0.193","1"
"Algeria","2013","Thousand units","0.467","1"
"Algeria","2012","Thousand units","0.76","1"
"Algeria","2011","Thousand units","0.686","1"
"Algeria","2010","Thousand units","0.5","1"
"Algeria","2009","Thousand units","0.285","1"
"Algeria","2008","Thousand units","0.109","1"
"Algeria","2007","Thousand units","0.094","1"
"Algeria","2006","Thousand units","0.822","1"
"Algeria","2005","Thousand units","0.503","1"
"Algeria","2004","Thousand units","0.275","1"
"Algeria","2003","Thousand units","0.19","1"
"Argentina","2016","Thousand units","472.776",""
"Argentina","2015","Thousand units","526.657",""
"Argentina","2014","Thousand units","596.842",""
"Argentina","2013","Thousand units","764.161",""
"Argentina","2012","Thousand units","743.463",""
"Argentina","2011","Thousand units","804.415",""
"Argentina","2010","Thousand units","695.626",""
"Argentina","2009","Thousand units","498.592",""
"Argentina","2008","Thousand units","557.076",""
"Argentina","2007","Thousand units","513.232",""
"Argentina","2006","Thousand units","408.874",""
"Argentina","2005","Thousand units","299.205",""
"Argentina","2004","Thousand units","244.343",""
"Argentina","2003","Thousand units","160.583",""
"Argentina","2002","Thousand units","153.118",""
"Argentina","2001","Thousand units","227.089",""
"Argentina","2000","Thousand units","324.651",""
"Argentina","1999","Thousand units","291.277",""
"Argentina","1998","Thousand units","435.003",""
"Argentina","1997","Thousand units","425.224",""
"Argentina","1996","Thousand units","269.439",""
"Argentina","1995","Thousand units","266.656",""
"Australia","2008","Thousand units","342.688","2"
"Australia","2007","Thousand units","334.863","2"
"Australia","2006","Thousand units","352.002","2"
"Australia","2005","Thousand units","398.819","2"
"Australia","2004","Thousand units","413.655","2"
"Australia","2003","Thousand units","358.286","2"
"Australia","2002","Thousand units","318.951","2"
"Australia","2001","Thousand units","340.099","2"
"Australia","2000","Thousand units","314.475","2"
"Australia","1999","Thousand units","340.446","2"
"Australia","1998","Thousand units","312.809","2"
"Australia","1997","Thousand units","304.405","2"
"Australia","1996","Thousand units","302.551","2"
"Australia","1995","Thousand units","300.969",""
"Azerbaijan","2016","Mil. USD","1.25335148301589",""
"Azerbaijan","2016","Thousand units","0.27",""
"Azerbaijan","2015","Mil. USD","4.97772799060748",""
"Azerbaijan","2015","Thousand units","0.725",""
"Azerbaijan","2014","Mil. USD","16.5742862697975",""
"Azerbaijan","2014","Thousand units","1.861",""
"Azerbaijan","2013","Mil. USD","4.84359598380493",""
"Azerbaijan","2013","Thousand units","0.463",""
"Azerbaijan","2012","Mil. USD","5.60049125472216",""
"Azerbaijan","2012","Thousand units","0.7",""
"Azerbaijan","2011","Mil. USD","4.17887414039932",""
"Azerbaijan","2011","Thousand units","0.558",""
"Azerbaijan","2010","Mil. USD","0.97178602019363",""
"Azerbaijan","2010","Thousand units","0.146",""
"Azerbaijan","2009","Mil. USD","0.199058618616128",""
"Azerbaijan","2009","Thousand units","0.018",""
"Azerbaijan","2008","Mil. USD","1.58224077597415",""
"Azerbaijan","2008","Thousand units","0.148",""
"Azerbaijan","2007","Mil. USD","3.35615906741281",""
"Azerbaijan","2007","Thousand units","0.407",""
"Azerbaijan","2006","Mil. USD","4.47705230875991",""
"Azerbaijan","2006","Thousand units","0.542",""
"Azerbaijan","2005","Mil. USD","0.951956853084499",""
"Azerbaijan","2005","Thousand units","0.271",""
"Azerbaijan","2004","Mil. USD","0.122113106247052",""
"Azerbaijan","2004","Thousand units","0.043",""
"Azerbaijan","2003","Mil. USD","0",""
"Azerbaijan","2002","Mil. USD","0",""
"Azerbaijan","2001","Mil. USD","0",""
"Azerbaijan","2000","Mil. USD","0",""
"Bangladesh","2006","Mil. USD","6.71545461623009","2"
"Bangladesh","2006","Thousand units","0.411","2"
"Bangladesh","2005","Mil. USD","5.0975730043811","2"
"Bangladesh","2005","Thousand units","0.332","2"
"Bangladesh","2004","Mil. USD","9.28516748327632","2"
"Bangladesh","2004","Thousand units","0.608","2"
"Bangladesh","2003","Mil. USD","11.4603016610135","2"
"Bangladesh","2003","Thousand units","0.904","2"
"Bangladesh","2002","Mil. USD","14.1852542841349","2"
"Bangladesh","2002","Thousand units","1.006","2"
"Bangladesh","2001","Mil. USD","13.8293871699916","2"
"Bangladesh","2001","Thousand units","1.031","2"
"Belarus","2016","Thousand units","10.348",""
"Belarus","2015","Thousand units","8.681",""
"Belarus","2014","Thousand units","9.649",""
"Belarus","2013","Thousand units","2.734",""
"Belarus","2012","Thousand units","0.406",""
"Belarus","2011","Thousand units","0.397",""
"Belarus","2010","Thousand units","0.364",""
"Belarus","2009","Thousand units","0.278",""
"Belarus","2008","Thousand units","0.299",""
"Belarus","2007","Thousand units","0.232",""
"Belarus","2006","Thousand units","0.036",""
"Belarus","2005","Thousand units","0",""
"Belarus","2004","Thousand units","0",""
"Belarus","2003","Thousand units","0",""
"Belarus","2002","Thousand units","0",""
"Belarus","2001","Thousand units","0",""
"Belarus","2000","Thousand units","0.046",""
"Belarus","1999","Thousand units","0.195",""
"Belarus","1998","Thousand units","1.258",""
"Belarus","1997","Thousand units","0.881",""
"Belarus","1996","Thousand units","0",""
"Bolivia (Plurinational State of)","2012","Mil. USD","0.30487336331693",""
"Bolivia (Plurinational State of)","2012","Thousand units","0.004",""
"Brazil","2015","Mil. USD","24767.7857904963",""
"Brazil","2015","Thousand units","2141.86",""
"Brazil","2014","Mil. USD","39738.9979563301",""
"Brazil","2014","Thousand units","2665.905",""
"Brazil","2013","Mil. USD","47764.0178826724",""
"Brazil","2013","Thousand units","3166.72",""
"Brazil","2012","Mil. USD","46569.8722217491",""
"Brazil","2012","Thousand units","3015.127",""
"Brazil","2011","Mil. USD","50803.1307453069",""
"Brazil","2011","Thousand units","2845.697",""
"Brazil","2010","Mil. USD","47838.0257914061",""
"Brazil","2010","Thousand units","2940.071",""
"Brazil","2009","Mil. USD","39207.9067175092",""
"Brazil","2009","Thousand units","2720.845",""
"Brazil","2008","Mil. USD","40453.7297729627",""
"Brazil","2008","Thousand units","2620.166",""
"Brazil","2007","Mil. USD","29878.1508602294",""
"Brazil","2007","Thousand units","2557.342",""
"Brazil","2006","Mil. USD","22449.1088857152",""
"Brazil","2006","Thousand units","3705.788",""
"Brazil","2005","Mil. USD","18943.2936988933",""
"Brazil","2005","Thousand units","2181.948",""
"Brazil","2004","Mil. USD","13206.9646377669",""
"Brazil","2004","Thousand units","1875.637",""
"Brazil","2003","Mil. USD","10059.2631746539",""
"Brazil","2003","Thousand units","1472.00400002",""
"Brazil","2002","Mil. USD","9057.58447880837",""
"Brazil","2002","Thousand units","1443.81100002",""
"Brazil","2001","Mil. USD","9616.66209618239",""
"Brazil","2001","Thousand units","1467.48600002",""
"Brazil","2000","Mil. USD","9213.05370077178",""
"Brazil","2000","Thousand units","1319.73200002",""
"Bulgaria","2016","Mil. USD","0","3"
"Bulgaria","2016","Thousand units","0","3"
"Bulgaria","2011","Mil. USD","0",""
"Bulgaria","2011","Thousand units","0",""
"Bulgaria","2010","Mil. USD","0",""
"Bulgaria","2010","Thousand units","0",""
"Bulgaria","2009","Mil. USD","0",""
"Bulgaria","2009","Thousand units","0",""
"Bulgaria","2008","Mil. USD","0",""
"Bulgaria","2008","Thousand units","0",""
"Bulgaria","2007","Mil. USD","0",""
"Bulgaria","2007","Thousand units","0",""
"Bulgaria","2006","Mil. USD","0",""
"Bulgaria","2006","Thousand units","0",""
"Bulgaria","2005","Mil. USD","0",""
"Bulgaria","2005","Thousand units","0",""
"Bulgaria","2004","Mil. USD","0",""
"Bulgaria","2004","Thousand units","0",""
"Bulgaria","2003","Mil. USD","0",""
"Bulgaria","2003","Thousand units","0",""
"Bulgaria","2002","Mil. USD","0",""
"Bulgaria","2002","Thousand units","0",""
"Bulgaria","2001","Mil. USD","0",""
"Bulgaria","2001","Thousand units","0",""
"Bulgaria","2000","Mil. USD","0",""
"Bulgaria","2000","Thousand units","0",""
"Bulgaria","1999","Mil. USD","0",""
"Bulgaria","1999","Thousand units","0",""
"Bulgaria","1998","Mil. USD","0",""
"Bulgaria","1998","Thousand units","0",""
"Chile","2016","Mil. USD","4.54197176701459",""
"Chile","2016","Thousand units","0.298",""
"Chile","2015","Mil. USD","7.86372513023214",""
"Chile","2015","Thousand units","0.481",""
"Chile","2013","Mil. USD","0.720406903218639",""
"Chile","2013","Thousand units","0.012",""
"Chile","2009","Mil. USD","0.314420770003368",""
"Chile","2009","Thousand units","0.009",""
"Chile","2008","Mil. USD","127.043778286988",""
"Chile","2008","Thousand units","7.068",""
"Chile","2007","Mil. USD","222.511868597049",""
"Chile","2007","Thousand units","11.703",""
"Colombia","2008","Thousand units","34.1","4"
"Colombia","2007","Thousand units","68","4"
"Colombia","2006","Thousand units","45.2","4"
"Colombia","2005","Thousand units","51.9","4"
"Colombia","2004","Thousand units","39.7","4"
"Croatia","2016","Mil. USD","0","3"
"Croatia","2016","Thousand units","0","3"
"Croatia","2015","Thousand units","0",""
"Croatia","2014","Thousand units","0",""
"Croatia","2013","Thousand units","0",""
"Croatia","2012","Thousand units","0",""
"Croatia","2011","Thousand units","0",""
"Croatia","2010","Thousand units","0",""
"Croatia","2009","Thousand units","0",""
"Croatia","2008","Thousand units","0",""
"Czechia","2016","Mil. USD","18981.6931974016",""
"Czechia","2016","Thousand units","1344.232",""
"Czechia","2015","Mil. USD","17648.6203567254",""
"Czechia","2015","Thousand units","1298.226",""
"Czechia","2014","Mil. USD","18986.6313380706",""
"Czechia","2014","Thousand units","1246.645",""
"Czechia","2013","Mil. USD","17079.8690240165",""
"Czechia","2013","Thousand units","1128.492",""
"Czechia","2012","Mil. USD","19039.6123928416",""
"Czechia","2012","Thousand units","1174.287",""
"Czechia","2011","Mil. USD","19277.8931718087",""
"Czechia","2011","Thousand units","1194.993",""
"Czechia","2010","Mil. USD","15746.7307214012",""
"Czechia","2010","Thousand units","1071.345",""
"Czechia","2009","Mil. USD","12891.5700571788",""
"Czechia","2009","Thousand units","970.663",""
"Czechia","2008","Mil. USD","14479.312701357",""
"Czechia","2008","Thousand units","939.783",""
"Denmark","2016","Mil. USD","0","3"
"Denmark","2016","Thousand units","0","3"
"Denmark","2008","Mil. USD","2.02270211124764",""
"Denmark","2008","Thousand units","0.424",""
"Denmark","2007","Mil. USD","1.37810659139516",""
"Denmark","2007","Thousand units","0.342",""
"Denmark","2006","Mil. USD","1.25244284930748",""
"Denmark","2006","Thousand units","0.332",""
"Denmark","2005","Mil. USD","1.81776948461791",""
"Denmark","2005","Thousand units","0.54",""
"Denmark","2004","Mil. USD","1.70938126106858",""
"Denmark","2004","Thousand units","0.509",""
"Denmark","2003","Mil. USD","1.49233264956469",""
"Denmark","2003","Thousand units","0.536",""
"Denmark","2002","Mil. USD","5.81933671442823",""
"Denmark","2002","Thousand units","0.742",""
"Denmark","2001","Mil. USD","8.30247689559455",""
"Denmark","2001","Thousand units","0.794",""
"Denmark","2000","Mil. USD","5.62046142729319",""
"Denmark","2000","Thousand units","0.955",""
"Denmark","1999","Mil. USD","5.44319002786601",""
"Denmark","1999","Thousand units","1.022",""
"Denmark","1998","Mil. USD","5.89554124665215",""
"Denmark","1998","Thousand units","1.458",""
"Denmark","1997","Mil. USD","6.11223401966676",""
"Denmark","1997","Thousand units","2.004",""
"Denmark","1996","Mil. USD","7.68279401920498",""
"Denmark","1996","Thousand units","1.846",""
"Denmark","1995","Mil. USD","6.98972458068316",""
"Denmark","1995","Thousand units","1.269",""
"Ecuador","2016","Mil. USD","289.043309",""
"Ecuador","2016","Thousand units","19.89",""
"Ecuador","2015","Mil. USD","622.895291",""
"Ecuador","2015","Thousand units","36.701",""
"Ecuador","2014","Mil. USD","752.784765",""
"Ecuador","2014","Thousand units","47.089",""
"Ecuador","2013","Mil. USD","646.325586",""
"Ecuador","2013","Thousand units","43.575",""
"Ecuador","2012","Mil. USD","0.402",""
"Ecuador","2012","Thousand units","0.008",""
"Ecuador","2011","Mil. USD","449.35290095",""
"Ecuador","2011","Thousand units","32.567",""
"Ecuador","2010","Mil. USD","0.394773",""
"Ecuador","2010","Thousand units","0.016",""
"Ecuador","2009","Mil. USD","771.133312",""
"Ecuador","2009","Thousand units","49.839809349058",""
"Ecuador","2008","Mil. USD","441.710041",""
"Ecuador","2008","Thousand units","22.34",""
"Ecuador","2007","Mil. USD","734.57538675",""
"Ecuador","2007","Thousand units","51.735",""
"Ecuador","2006","Mil. USD","700.37488279",""
"Ecuador","2006","Thousand units","51.908",""
"Ecuador","2005","Mil. USD","521.96484386",""
"Ecuador","2005","Thousand units","43.387",""
"Ecuador","2004","Mil. USD","310.00536802",""
"Ecuador","2004","Thousand units","29.228",""
"Egypt","2015","Mil. USD","542.417874861934",""
"Egypt","2015","Thousand units","32.082",""
"Egypt","2014","Mil. USD","630.919746622591",""
"Egypt","2014","Thousand units","38.445",""
"Egypt","2010","Thousand units","43.627","5"
"Egypt","2009","Thousand units","42.627","5"
"Egypt","2008","Thousand units","40.909","5"
"Egypt","2007","Thousand units","38.776","5"
"Egypt","2006","Thousand units","36.113","5"
"Egypt","2005","Thousand units","35.93","5"
"Egypt","2004","Thousand units","63.393","5"
"Estonia","2016","Mil. USD","0","3"
"Estonia","2016","Thousand units","0","3"
"Estonia","2015","Mil. USD","0",""
"Estonia","2015","Thousand units","0",""
"Estonia","2014","Mil. USD","0",""
"Estonia","2014","Thousand units","0.002",""
"Estonia","2013","Thousand units","0.002",""
"Estonia","2008","Mil. USD","0",""
"Estonia","2008","Thousand units","0",""
"Finland","2016","Mil. USD","950.18431628909",""
"Finland","2016","Thousand units","48.392",""
"Finland","2015","Mil. USD","1524.96681999374",""
"Finland","2015","Thousand units","79.131",""
"Finland","2014","Mil. USD","1125.07021191044",""
"Finland","2014","Thousand units","46.092",""
"Finland","2013","Mil. USD","188.539160636562",""
"Finland","2013","Thousand units","7.846",""
"Finland","2012","Mil. USD","138.765112118613",""
"Finland","2012","Thousand units","1.973",""
"Finland","2011","Mil. USD","233.542475302802",""
"Finland","2011","Thousand units","5.503",""
"Finland","2010","Mil. USD","280.777984729648",""
"Finland","2010","Thousand units","8.238",""
"Finland","2009","Mil. USD","393.141085699927",""
"Finland","2009","Thousand units","11.978",""
"Finland","2008","Mil. USD","590.325074834062",""
"Finland","2008","Thousand units","17.859",""
"Finland","2007","Mil. USD","773.297291748644",""
"Finland","2007","Thousand units","24.291",""
"Finland","2006","Mil. USD","955.916405403061",""
"Finland","2006","Thousand units","32.615",""
"Finland","2005","Mil. USD","679.003133860618",""
"Finland","2005","Thousand units","21.563",""
"Finland","2004","Mil. USD","49.6669212096379",""
"Finland","2004","Thousand units","10.236",""
"Finland","2003","Mil. USD","71.1033528616748",""
"Finland","2003","Thousand units","19.436",""
"Finland","2002","Mil. USD","120.464730342524",""
"Finland","2002","Thousand units","41.176",""
"Finland","2001","Mil. USD","120.804288104804",""
"Finland","2001","Thousand units","41.916",""
"Finland","2000","Mil. USD","105.030322899144",""
"Finland","2000","Thousand units","38.468",""
"Finland","1999","Mil. USD","106.538561764272",""
"Finland","1999","Thousand units","33.93",""
"Finland","1998","Mil. USD","101.245277822956",""
"Finland","1998","Thousand units","31.364",""
"Finland","1997","Mil. USD","98.4954603110701",""
"Finland","1997","Thousand units","33.699",""
"France","2001","Mil. USD","43422.4078531736",""
"France","2000","Mil. USD","40464.7174842475",""
"Germany","2016","Mil. USD","177810.292722386",""
"Germany","2016","Thousand units","5734.482",""
"Germany","2014","Mil. USD","200573.011556778",""
"Germany","2014","Thousand units","5621.351",""
"Germany","2013","Mil. USD","227569.830997559",""
"Germany","2013","Thousand units","6360.061",""
"Germany","2012","Mil. USD","212464.935883155",""
"Germany","2012","Thousand units","6237.408",""
"Germany","2011","Mil. USD","231013.17296045",""
"Germany","2011","Thousand units","6625.495",""
"Germany","2010","Mil. USD","200031.89491562",""
"Germany","2010","Thousand units","6093.798",""
"Germany","2009","Mil. USD","166042.186589867",""
"Germany","2009","Thousand units","5407.086",""
"Germany","2008","Mil. USD","201075.058850052",""
"Germany","2008","Thousand units","6134.784",""
"Germany","2007","Mil. USD","195846.124667841",""
"Germany","2007","Thousand units","6399.412",""
"Germany","2006","Mil. USD","166926.010823683",""
"Germany","2006","Thousand units","5965.278",""
"Germany","2005","Mil. USD","159711.199057355",""
"Germany","2005","Thousand units","5944.709",""
"Germany","2003","Mil. USD","134199.456146631",""
"Germany","2003","Thousand units","5624.217",""
"Germany","2002","Mil. USD","112014.37190568",""
"Germany","2002","Thousand units","5560.966",""
"Germany","1998","Mil. USD","100083.019493",""
"Germany","1998","Thousand units","5459.23",""
"Germany","1997","Mil. USD","85751.4918139416",""
"Germany","1997","Thousand units","4756.743",""
"Germany","1996","Mil. USD","93203.9781528677",""
"Germany","1996","Thousand units","4712.827",""
"Germany","1995","Mil. USD","90270.7374175099",""
"Germany","1995","Thousand units","4514.301",""
"Hungary","2016","Mil. USD","8693.42860967042",""
"Hungary","2016","Thousand units","522.865",""
"Hungary","2015","Mil. USD","9159.24928176993",""
"Hungary","2015","Thousand units","522.56",""
"Hungary","2014","Mil. USD","9008.09538352289",""
"Hungary","2014","Thousand units","434.61",""
"Hungary","2013","Mil. USD","5768.47493238561",""
"Hungary","2013","Thousand units","307.849",""
"Hungary","2012","Mil. USD","3816.22869674258",""
"Hungary","2012","Thousand units","230.57",""
"Hungary","2011","Mil. USD","3681.783725678",""
"Hungary","2011","Thousand units","209.938",""
"Hungary","2007","Mil. USD","4650.48944638328",""
"Hungary","2007","Thousand units","288.682",""
"Hungary","2006","Mil. USD","2380.0323209278",""
"Hungary","2006","Thousand units","182.192",""
"Hungary","2004","Mil. USD","1661.78507573111",""
"Hungary","2004","Thousand units","116.393",""
"Iceland","2016","Mil. USD","0","3"
"Iceland","2016","Thousand units","0","3"
"India","2015","Mil. USD","23778.9495679458",""
"India","2014","Mil. USD","20778.9880719297",""
"India","2013","Mil. USD","12811.4562680452",""
"India","2012","Mil. USD","10810.0991926626",""
"India","2011","Mil. USD","10042.7160546051",""
"India","2010","Thousand units","2452.819",""
"India","2009","Thousand units","1910.465",""
"India","2008","Thousand units","1516.791",""
"India","2007","Thousand units","1421.984",""
"India","2006","Thousand units","1238.737",""
"India","2005","Mil. USD","5162.88308993372",""
"India","2005","Thousand units","1030.715",""
"India","2004","Mil. USD","3516.90911659779",""
"India","2004","Thousand units","731.925",""
"India","2003","Mil. USD","2434.49151818604",""
"India","2003","Thousand units","538.3",""
"India","2002","Thousand units","575.426",""
"India","2001","Thousand units","573.146",""
"India","2000","Thousand units","506.281",""
"Iran (Islamic Republic of)","2009","Mil. USD","12738.3261415665",""
"Iran (Islamic Republic of)","2009","Thousand units","1193.979",""
"Iran (Islamic Republic of)","2008","Thousand units","1048.681",""
"Iran (Islamic Republic of)","2007","Thousand units","952.902",""
"Iran (Islamic Republic of)","2006","Thousand units","923.041",""
"Iran (Islamic Republic of)","2005","Thousand units","844.064",""
"Ireland","2004","Mil. USD","14.4332073035208",""
"Ireland","2004","Thousand units","0.398",""
"Ireland","2003","Mil. USD","10.082003985926",""
"Ireland","2003","Thousand units","0.305",""
"Ireland","2002","Mil. USD","4.52999995294345",""
"Ireland","2002","Thousand units","0.165",""
"Ireland","2001","Mil. USD","5.79735483351379",""
"Ireland","2001","Thousand units","0.231",""
"Ireland","2000","Mil. USD","6.51746413191442",""
"Ireland","2000","Thousand units","0.254",""
"Ireland","1999","Mil. USD","6.79244164766002",""
"Ireland","1998","Mil. USD","4.80651777986399",""
"Ireland","1998","Thousand units","0.189",""
"Ireland","1997","Mil. USD","4.39464574727371",""
"Ireland","1997","Thousand units","0",""
"Ireland","1996","Mil. USD","4.47295383881363",""
"Ireland","1996","Thousand units","0.116",""
"Ireland","1995","Mil. USD","3.89767571618356",""
"Ireland","1995","Thousand units","0.102",""
"Japan","2016","Mil. USD","140957.020173191",""
"Japan","2016","Thousand units","8405.198",""
"Japan","2015","Mil. USD","117430.834919761",""
"Japan","2015","Thousand units","7793.242",""
"Japan","2014","Mil. USD","131697.322589208",""
"Japan","2014","Thousand units","8136.297",""
"Japan","2013","Mil. USD","138920.821263403",""
"Japan","2013","Thousand units","8139.417",""
"Japan","2012","Mil. USD","163103.123047877",""
"Japan","2012","Thousand units","8559.948",""
"Japan","2011","Mil. USD","139632.086344146",""
"Japan","2011","Thousand units","7402.944",""
"Japan","2010","Mil. USD","130685.330777698",""
"Japan","2010","Thousand units","7578.654",""
"Japan","2009","Mil. USD","107268.285174579",""
"Japan","2009","Thousand units","6768.539",""
"Japan","2008","Mil. USD","133837.342549769",""
"Japan","2008","Thousand units","9334.574",""
"Japan","2007","Mil. USD","124455.947127133",""
"Japan","2007","Thousand units","9521.504",""
"Japan","2006","Mil. USD","150358.981058457",""
"Japan","2006","Thousand units","10683.519",""
"Japan","2005","Mil. USD","137959.233506586",""
"Japan","2005","Thousand units","9587.561",""
"Japan","2004","Mil. USD","132070.632115115",""
"Japan","2004","Thousand units","9604.558",""
"Japan","2003","Mil. USD","124694.678140709",""
"Japan","2003","Thousand units","9409.471",""
"Japan","2002","Mil. USD","111008.676048216",""
"Japan","2002","Thousand units","9244.472","6"
"Japan","2001","Mil. USD","106945.573605005",""
"Japan","2000","Mil. USD","115772.377922007",""
"Japan","1999","Mil. USD","112838.622767095",""
"Japan","1998","Mil. USD","99221.29916705",""
"Japan","1997","Mil. USD","107456.825510274",""
"Kazakhstan","2016","Thousand units","5.192",""
"Kazakhstan","2015","Thousand units","0.295",""
"Kazakhstan","2014","Thousand units","0.442",""
"Kazakhstan","2013","Thousand units","0.909",""
"Kazakhstan","2012","Thousand units","0.199",""
"Kazakhstan","2011","Thousand units","0.091",""
"Kazakhstan","2010","Thousand units","0.043",""
"Kazakhstan","2009","Thousand units","0.002",""
"Kazakhstan","2008","Thousand units","0.115",""
"Kazakhstan","2007","Thousand units","0.04",""
"Kazakhstan","2006","Thousand units","0.119",""
"Kazakhstan","2005","Thousand units","2.268",""
"Kazakhstan","2004","Thousand units","3.206",""
"Kazakhstan","2003","Thousand units","2.628",""
"Kenya","2016","Mil. USD","0.0640366521364383",""
"Kenya","2016","Thousand units","0.048",""
"Kenya","2015","Mil. USD","0.737402123831156",""
"Kenya","2015","Thousand units","0.699",""
"Kenya","2014","Mil. USD","1.59914171702868",""
"Kenya","2014","Thousand units","1.346",""
"Kenya","2013","Mil. USD","1.66622390975367",""
"Kenya","2013","Thousand units","0.991",""
"Kenya","2012","Mil. USD","0.259080836401472",""
"Kenya","2012","Thousand units","0.23",""
"Kenya","2011","Mil. USD","0.228575885875348",""
"Kenya","2011","Thousand units","0.3",""
"Kenya","2010","Mil. USD","0.117139007077148",""
"Kenya","2010","Thousand units","0.18",""
"Kenya","2009","Mil. USD","0.284414061722976",""
"Kenya","2009","Thousand units","0.308",""
"Kenya","2008","Mil. USD","0.056378488894029",""
"Kenya","2008","Thousand units","0.175",""
"Kenya","2007","Mil. USD","0.261447081187042",""
"Kenya","2007","Thousand units","0.205",""
"Kenya","2006","Mil. USD","0.284324030296201",""
"Kenya","2006","Thousand units","0.22",""
"Kenya","2005","Mil. USD","0.238239853936351",""
"Kenya","2005","Thousand units","0.23",""
"Kenya","2004","Mil. USD","0.366282433570382",""
"Kenya","2004","Thousand units","0.302",""
"Kenya","2003","Mil. USD","0.553100481201077",""
"Kenya","2003","Thousand units","0.506",""
"Kenya","2002","Mil. USD","0.292066675435722",""
"Kenya","2002","Thousand units","0.332",""
"Latvia","2016","Mil. USD","0","3"
"Latvia","2016","Thousand units","0","3"
"Lithuania","2016","Mil. USD","0","3"
"Lithuania","2016","Thousand units","0","3"
"Lithuania","2015","Mil. USD","0",""
