"Country or Area","Year","Unit","Value","Value Footnotes"
"Lithuania","2015","Thousand units","0",""
"Lithuania","2014","Mil. USD","0",""
"Lithuania","2014","Thousand units","0",""
"Lithuania","2013","Mil. USD","0",""
"Lithuania","2013","Thousand units","0",""
"Lithuania","2012","Mil. USD","0",""
"Lithuania","2012","Thousand units","0",""
"Lithuania","2011","Mil. USD","0",""
"Lithuania","2011","Thousand units","0",""
"Lithuania","2010","Mil. USD","0",""
"Lithuania","2010","Thousand units","0",""
"Lithuania","2009","Mil. USD","0",""
"Lithuania","2009","Thousand units","0",""
"Lithuania","2008","Mil. USD","0",""
"Lithuania","2008","Thousand units","0",""
"Lithuania","2007","Mil. USD","0",""
"Lithuania","2007","Thousand units","0",""
"Lithuania","2006","Mil. USD","0",""
"Lithuania","2006","Thousand units","0",""
"Lithuania","2005","Mil. USD","0",""
"Lithuania","2005","Thousand units","0",""
"Lithuania","2004","Mil. USD","0",""
"Lithuania","2004","Thousand units","0",""
"Lithuania","2003","Mil. USD","0",""
"Lithuania","2003","Thousand units","0",""
"Lithuania","2002","Mil. USD","0",""
"Lithuania","2002","Thousand units","0",""
"Lithuania","2001","Mil. USD","0",""
"Lithuania","2001","Thousand units","0",""
"Lithuania","2000","Mil. USD","0",""
"Lithuania","2000","Thousand units","0",""
"Lithuania","1999","Mil. USD","0",""
"Lithuania","1999","Thousand units","0",""
"Lithuania","1998","Mil. USD","0",""
"Lithuania","1998","Thousand units","0",""
"Lithuania","1997","Mil. USD","0",""
"Lithuania","1997","Thousand units","0",""
"Luxembourg","2016","Mil. USD","0","3"
"Luxembourg","2016","Thousand units","0","3"
"Malaysia","2016","Thousand units","503.771",""
"Malaysia","2015","Thousand units","568.018",""
"Malaysia","2014","Thousand units","547.824",""
"Malaysia","2013","Thousand units","534.992",""
"Malaysia","2012","Thousand units","480.317",""
"Malaysia","2011","Thousand units","455.621",""
"Malaysia","2010","Thousand units","474.7",""
"Malaysia","2009","Thousand units","409.368",""
"Malaysia","2008","Thousand units","419.607",""
"Malaysia","2007","Thousand units","333.688",""
"Malaysia","2006","Thousand units","365.595",""
"Malaysia","2005","Thousand units","422.982",""
"Malaysia","2004","Thousand units","385.113",""
"Malaysia","2003","Thousand units","348.05",""
"Malaysia","2002","Thousand units","418.798",""
"Malaysia","2001","Thousand units","383.636",""
"Malaysia","2000","Thousand units","300.758",""
"Malaysia","1999","Thousand units","258.111",""
"Malaysia","1998","Thousand units","149.2",""
"Malaysia","1997","Thousand units","362.133",""
"Malta","2016","Mil. USD","0","3"
"Malta","2016","Thousand units","0","3"
"Mexico","2016","Mil. USD","29288.367531586",""
"Mexico","2016","Thousand units","2281.955",""
"Mexico","2015","Mil. USD","29469.8915487141",""
"Mexico","2015","Thousand units","2117.278",""
"Mexico","2014","Mil. USD","30175.3401366941",""
"Mexico","2014","Thousand units","2046.274",""
"Mexico","2013","Mil. USD","30784.8932381898",""
"Mexico","2013","Thousand units","1986.262",""
"Mexico","2012","Mil. USD","28194.6067199076",""
"Mexico","2012","Thousand units","1963.435",""
"Mexico","2011","Mil. USD","25188.3059047502",""
"Mexico","2011","Thousand units","1774.242",""
"Mexico","2010","Mil. USD","20276.6248043785",""
"Mexico","2010","Thousand units","1464.556",""
"Mexico","2009","Mil. USD","13722.0737079101",""
"Mexico","2009","Thousand units","1033.372",""
"Mexico","2008","Mil. USD","18602.9623395623",""
"Mexico","2008","Thousand units","1388.669",""
"Mexico","2007","Mil. USD","16808.1513943676",""
"Mexico","2007","Thousand units","1268.096",""
"Mexico","2006","Mil. USD","19229.3836956546",""
"Mexico","2006","Thousand units","1385.233",""
"Mexico","2005","Mil. USD","14467.3396306778",""
"Mexico","2005","Thousand units","1076.016",""
"Mexico","2004","Mil. USD","11998.3342144669",""
"Mexico","2004","Thousand units","971.638",""
"Mexico","2003","Mil. USD","12631.0091672683",""
"Mexico","2003","Thousand units","995.81",""
"Mexico","2002","Mil. USD","15929.0144686139",""
"Mexico","2002","Thousand units","1217.563",""
"Mexico","2001","Mil. USD","17125.2781913171",""
"Mexico","2001","Thousand units","1271.749",""
"Mexico","2000","Mil. USD","16326.5874481235",""
"Mexico","2000","Thousand units","1294.302",""
"Mexico","1999","Mil. USD","12059.6763889786",""
"Mexico","1999","Thousand units","996.492",""
"Mexico","1998","Mil. USD","10392.4218603751",""
"Mexico","1998","Thousand units","947.415",""
"Mexico","1997","Mil. USD","9730.3389800542",""
"Mexico","1997","Thousand units","857.764",""
"Mexico","1996","Mil. USD","8570.18778588766",""
"Mexico","1996","Thousand units","802.067",""
"Mexico","1995","Mil. USD","7370.55110076058",""
"Mexico","1995","Thousand units","704.595",""
"Montenegro","2016","Mil. USD","0","3"
"Montenegro","2016","Thousand units","0","3"
"Morocco","2010","Thousand units","42.624","5"
"Morocco","2009","Thousand units","46.867","5"
"Morocco","2008","Thousand units","40.244","5"
"Morocco","2007","Thousand units","37.22","5"
"Morocco","2006","Thousand units","29.881","5"
"Morocco","2005","Thousand units","18.688","5"
"Morocco","2004","Thousand units","15.02","5"
"Netherlands","2016","Mil. USD","2848.42250067964",""
"Netherlands","2016","Thousand units","110.565",""
"Netherlands","2015","Mil. USD","1504.1474184338",""
"Netherlands","2015","Thousand units","69.457",""
"Netherlands","2014","Mil. USD","518.591031003689",""
"Netherlands","2014","Thousand units","32.873",""
"Nigeria","2005","Mil. USD","11.7406880756076",""
"Nigeria","2005","Thousand units","2.183",""
"Nigeria","2004","Mil. USD","11.6008872883768",""
"Nigeria","2004","Thousand units","2.18",""
"Nigeria","2003","Mil. USD","11.9485677206768",""
"Nigeria","2003","Thousand units","2.146",""
"Nigeria","2002","Mil. USD","12.7561576761519",""
"Nigeria","2002","Thousand units","2.224",""
"Nigeria","2001","Mil. USD","13.8694926111142",""
"Nigeria","2001","Thousand units","2.169",""
"Nigeria","2000","Mil. USD","15.2534186409346",""
"Nigeria","1999","Mil. USD","16.4654568374268",""
"Nigeria","1998","Mil. USD","19.2193672778055",""
"Nigeria","1997","Mil. USD","17.86044718232",""
"Nigeria","1996","Mil. USD","16.0757549060945",""
"Norway","2016","Mil. USD","0","3"
"Norway","2016","Thousand units","0","3"
"Norway","2003","Thousand units","0",""
"Pakistan","2015","Thousand units","28.189","2"
"Pakistan","2014","Thousand units","17.477","2"
"Pakistan","2013","Thousand units","14.517","2"
"Pakistan","2012","Thousand units","20.929","2"
"Pakistan","2011","Thousand units","19.142","2"
"Pakistan","2010","Thousand units","15.568","2"
"Pakistan","2009","Thousand units","16.158","2"
"Pakistan","2008","Thousand units","21.354","2"
"Pakistan","2007","Thousand units","19.672","2"
"Pakistan","2006","Thousand units","29.581","2"
"Poland","2016","Mil. USD","6460.36006767304",""
"Poland","2016","Thousand units","554.002",""
"Poland","2015","Mil. USD","5700.33160896671",""
"Poland","2015","Thousand units","535.095",""
"Poland","2014","Mil. USD","5693.44199440559",""
"Poland","2014","Thousand units","473.081",""
"Poland","2006","Mil. USD","6403.47602845489",""
"Poland","2006","Thousand units","630.625",""
"Poland","2005","Mil. USD","5297.63198697774",""
"Poland","2005","Thousand units","540.474",""
"Poland","2004","Mil. USD","4219.27608181045",""
"Poland","2004","Thousand units","522.253",""
"Poland","2003","Mil. USD","2146.78297538618",""
"Poland","2003","Thousand units","333.289",""
"Poland","2002","Mil. USD","1510.330797951",""
"Poland","2002","Thousand units","291.678",""
"Poland","2001","Mil. USD","1805.95520164147",""
"Poland","2001","Thousand units","365.05",""
"Poland","2000","Mil. USD","2608.42254217886",""
"Poland","2000","Thousand units","533.609",""
"Portugal","2016","Mil. USD","1765.92998718076",""
"Portugal","2016","Thousand units","99.739",""
"Portugal","2015","Mil. USD","2060.67580682462",""
"Portugal","2015","Thousand units","115.301",""
"Portugal","2014","Mil. USD","2473.45409637978",""
"Portugal","2014","Thousand units","118.117",""
"Portugal","2013","Mil. USD","2301.63189592502",""
"Portugal","2013","Thousand units","109.629",""
"Portugal","2012","Mil. USD","2918.96018279234",""
"Portugal","2012","Thousand units","156.396",""
"Portugal","2011","Mil. USD","3632.69164960137",""
"Portugal","2011","Thousand units","182.698",""
"Portugal","2010","Mil. USD","2590.40715370061",""
"Portugal","2010","Thousand units","148.568",""
"Portugal","2009","Mil. USD","2136.50973380936",""
"Portugal","2009","Thousand units","120.558",""
"Portugal","2008","Mil. USD","3136.51746834318",""
"Portugal","2008","Thousand units","166.388",""
"Portugal","2007","Mil. USD","3110.30772305008",""
"Portugal","2007","Thousand units","168.417",""
"Portugal","2006","Mil. USD","2519.21310893412",""
"Portugal","2006","Thousand units","148.228",""
"Portugal","2005","Mil. USD","2164.92921081431",""
"Portugal","2005","Thousand units","141.97",""
"Portugal","2004","Mil. USD","2418.77906290936",""
"Portugal","2004","Thousand units","157.248",""
"Portugal","2003","Mil. USD","2371.44574785961",""
"Portugal","2003","Thousand units","168.15",""
"Portugal","2002","Mil. USD","2312.24552092368",""
"Portugal","2002","Thousand units","189.738",""
"Portugal","2001","Mil. USD","2466.44663403459",""
"Portugal","2001","Thousand units","195.255",""
"Portugal","2000","Mil. USD","2367.51518064372",""
"Portugal","2000","Thousand units","187.282",""
"Portugal","1999","Mil. USD","2603.60402251291",""
"Portugal","1999","Thousand units","184.024",""
"Portugal","1998","Mil. USD","2683.41003997897",""
"Portugal","1998","Thousand units","189.124",""
"Portugal","1997","Mil. USD","2719.70353531058",""
"Portugal","1997","Thousand units","189.714",""
"Portugal","1996","Mil. USD","2756.04408716219",""
"Portugal","1996","Thousand units","163.992",""
"Portugal","1995","Mil. USD","1279.19612176044",""
"Portugal","1995","Thousand units","77.868",""
"Republic of Korea","2006","Thousand units","3488.788",""
"Republic of Korea","2005","Thousand units","3355.728",""
"Republic of Korea","2004","Thousand units","3133.258",""
"Republic of Korea","2003","Thousand units","2766.721",""
"Republic of Korea","2002","Thousand units","2652.591",""
"Republic of Korea","2001","Thousand units","2477.448",""
"Republic of Korea","2000","Thousand units","2626.422",""
"Republic of Korea","1999","Thousand units","1923.845",""
"Republic of Korea","1998","Thousand units","1437.184",""
"Republic of Korea","1997","Thousand units","2137.219",""
"Republic of Korea","1996","Thousand units","2125.124",""
"Republic of Korea","1995","Thousand units","1874.969",""
"Romania","2013","Mil. USD","4137.09818413551",""
"Romania","2013","Thousand units","411.356",""
"Romania","2007","Mil. USD","2130.12078334871",""
"Romania","2007","Thousand units","231.464",""
"Romania","2006","Mil. USD","1552.73616195658",""
"Romania","2006","Thousand units","199.919",""
"Romania","2005","Mil. USD","1202.23060180064",""
"Romania","2005","Thousand units","172.663",""
"Romania","2004","Mil. USD","626.721528780013",""
"Romania","2004","Thousand units","104.138",""
"Romania","2003","Mil. USD","372.930228437013",""
"Romania","2003","Thousand units","74.165",""
"Romania","2002","Mil. USD","284.970729468653",""
"Romania","2002","Thousand units","65.713",""
"Russian Federation","2016","Thousand units","1119.764",""
"Russian Federation","2015","Thousand units","1215.409",""
"Russian Federation","2014","Thousand units","1695.371",""
"Russian Federation","2013","Thousand units","1924.657",""
"Russian Federation","2012","Thousand units","1963.702",""
"Russian Federation","2011","Thousand units","1739.91",""
"Russian Federation","2010","Thousand units","1209.619",""
"Russian Federation","2009","Thousand units","600.047",""
"Russian Federation","2008","Thousand units","1470.295",""
"Russian Federation","2007","Thousand units","1293.878",""
"Russian Federation","2006","Thousand units","1177.909",""
"Russian Federation","2005","Thousand units","1068.565",""
"Russian Federation","2004","Thousand units","1110",""
"Russian Federation","2003","Thousand units","1012",""
"Russian Federation","2002","Thousand units","981",""
"Russian Federation","2001","Thousand units","1022",""
"Russian Federation","2000","Thousand units","969",""
"Russian Federation","1999","Thousand units","954",""
"Russian Federation","1998","Thousand units","840",""
"Russian Federation","1997","Thousand units","986",""
"Russian Federation","1996","Thousand units","868",""
"Russian Federation","1995","Thousand units","835",""
"Serbia","2010","Thousand units","14.955",""
"Serbia","2009","Thousand units","16.512",""
"Serbia","2008","Thousand units","7.748",""
"Serbia","2007","Thousand units","9.403",""
"Serbia","2006","Thousand units","11.016",""
"Slovakia","2016","Mil. USD","14571.2059100429",""
"Slovakia","2016","Thousand units","973.474",""
"Slovakia","2015","Mil. USD","13578.8624258137",""
"Slovakia","2015","Thousand units","956.654",""
"Slovakia","2014","Mil. USD","14466.906369509",""
"Slovakia","2014","Thousand units","907.854",""
"Slovakia","2013","Mil. USD","14680.103840253",""
"Slovakia","2013","Thousand units","904.472",""
"Slovakia","2012","Mil. USD","13324.0204876853",""
"Slovakia","2012","Thousand units","843.344",""
"Slovakia","2011","Mil. USD","11720.2179123686",""
"Slovakia","2011","Thousand units","580.717",""
"Slovakia","2010","Mil. USD","9080.25407220033",""
"Slovakia","2010","Thousand units","515.559",""
"Slovakia","2009","Mil. USD","7197.71729441678",""
"Slovakia","2009","Thousand units","429.175",""
"Slovakia","2008","Mil. USD","10445.7023371577",""
"Slovakia","2008","Thousand units","524.18",""
"Slovakia","2007","Mil. USD","10448.1459984072",""
"Slovakia","2007","Thousand units","525.29",""
"Slovakia","2006","Mil. USD","6107.09745851889",""
"Slovakia","2006","Thousand units","262.632",""
"Slovakia","2005","Mil. USD","3830.55136895215",""
"Slovakia","2005","Thousand units","176.932",""
"Slovakia","2004","Mil. USD","4198.63440140745",""
"Slovakia","2004","Thousand units","186.26",""
"Slovakia","2003","Mil. USD","3953.86097104979",""
"Slovakia","2003","Thousand units","242.03",""
"Slovakia","2002","Mil. USD","2194.09068596359",""
"Slovakia","2002","Thousand units","225.819",""
"Slovakia","2001","Mil. USD","1663.45315359719",""
"Slovakia","2001","Thousand units","181.735",""
"Slovenia","1998","Thousand units","126.364",""
"Spain","2016","Mil. USD","34987.5784915296",""
"Spain","2016","Thousand units","2481.982",""
"Spain","2015","Mil. USD","33537.0703053024",""
"Spain","2015","Thousand units","2359.011",""
"Spain","2014","Mil. USD","32749.095649525",""
"Spain","2014","Thousand units","2080.598",""
"Spain","2013","Mil. USD","30005.6090931386",""
"Spain","2013","Thousand units","1927.16",""
"Spain","2012","Mil. USD","23492.4195368215",""
"Spain","2012","Thousand units","1603.464",""
"Spain","2011","Mil. USD","29431.9124232793",""
"Spain","2011","Thousand units","1933.948",""
"Spain","2010","Mil. USD","27121.5640155365",""
"Spain","2010","Thousand units","2025.064",""
"Spain","2009","Mil. USD","25891.7440115733",""
"Spain","2009","Thousand units","1882.585",""
"Spain","2008","Mil. USD","29982.0685650213",""
"Spain","2008","Thousand units","2048.937",""
"Spain","2007","Mil. USD","34671.0920257994",""
"Spain","2007","Thousand units","2385.206",""
"Spain","2006","Mil. USD","28210.8243106352",""
"Spain","2006","Thousand units","2220.132",""
"Spain","2005","Mil. USD","27107.8943441277",""
"Spain","2005","Thousand units","2375.436",""
"Spain","2004","Mil. USD","28665.2635761425",""
"Spain","2004","Thousand units","2482.326",""
"Sudan (former)","2010","Thousand units","2.114",""
"Sudan (former)","2009","Thousand units","6.55",""
"Sudan (former)","2008","Thousand units","6.325",""
"Sudan (former)","2007","Thousand units","2.2",""
"Sudan (former)","2006","Thousand units","2.131",""
"Sudan (former)","2005","Thousand units","1.5",""
"Sudan (former)","2004","Thousand units","1.485",""
"Sweden","2016","Mil. USD","7317.65545176628",""
"Sweden","2016","Thousand units","195.542",""
"Sweden","2015","Mil. USD","6361.05767284726",""
"Sweden","2015","Thousand units","166.94",""
"Sweden","2014","Mil. USD","4937.02367877728",""
"Sweden","2014","Thousand units","140.8174",""
"Sweden","2013","Mil. USD","5805.6942727565",""
"Sweden","2013","Thousand units","163.9172",""
"Sweden","2012","Mil. USD","5839.50709295945",""
"Sweden","2012","Thousand units","164.8351",""
"Sweden","2011","Mil. USD","7649.04195870112",""
"Sweden","2011","Thousand units","205.8627",""
"Sweden","2010","Mil. USD","6256.57909113265",""
"Sweden","2010","Thousand units","191.0735",""
"Sweden","2009","Mil. USD","4016.18451267738",""
"Sweden","2009","Thousand units","127.2529",""
"Sweden","2008","Mil. USD","7154.74123625561",""
"Sweden","2008","Thousand units","220.2072",""
"Sweden","2007","Mil. USD","10516.9143202092",""
"Sweden","2007","Thousand units","314.7655",""
"Sweden","2006","Mil. USD","9416.21845923473",""
"Sweden","2006","Thousand units","310.22",""
"Sweden","2005","Mil. USD","8914.25298733032",""
"Sweden","2005","Thousand units","308.866",""
"Sweden","2004","Mil. USD","9036.06260540145",""
"Sweden","2004","Thousand units","317.827",""
"Sweden","2003","Mil. USD","7553.1415515844",""
"Sweden","2003","Thousand units","297.147",""
"Sweden","2002","Mil. USD","5389.27136933324",""
"Sweden","2002","Thousand units","260.058",""
"Sweden","2001","Mil. USD","5426.30099016836",""
"Sweden","2001","Thousand units","271.538",""
"Sweden","2000","Mil. USD","5779.15181442538",""
"Sweden","2000","Thousand units","278.357",""
"Sweden","1999","Mil. USD","5268.18487785169",""
"Sweden","1999","Thousand units","235.165",""
"Sweden","1998","Mil. USD","4816.43207123204",""
"Sweden","1998","Thousand units","213.944",""
"Sweden","1997","Mil. USD","4595.74150394794",""
"Sweden","1997","Thousand units","221.001",""
"Sweden","1996","Mil. USD","4594.12509800057",""
"Sweden","1996","Thousand units","207.653",""
"Thailand","2008","Thousand units","401.474",""
"Thailand","2007","Thousand units","315.444",""
"Thailand","2006","Thousand units","298.819",""
"Thailand","2005","Thousand units","277.603",""
"Thailand","2004","Thousand units","299.039",""
"Thailand","2003","Thousand units","251.691",""
"Thailand","2002","Thousand units","169.304",""
"Thailand","2001","Thousand units","155.942",""
"Thailand","2000","Thousand units","97.129",""
"Thailand","1999","Thousand units","72.716",""
"Thailand","1998","Thousand units","32.008",""
"Thailand","1997","Thousand units","112.041",""
"Thailand","1996","Thousand units","138.579",""
"The former Yugoslav Republic of Macedonia","2016","Mil. USD","0","3"
"The former Yugoslav Republic of Macedonia","2016","Thousand units","0","3"
"Turkey","2016","Mil. USD","15566.1928763716",""
"Turkey","2016","Thousand units","1367.725",""
"Turkey","2015","Mil. USD","13474.971993176",""
"Turkey","2015","Thousand units","1211.487",""
"Turkey","2014","Mil. USD","13800.527895914",""
"Turkey","2014","Thousand units","1070.748",""
"Turkey","2013","Mil. USD","12896.1730158959",""
"Turkey","2013","Thousand units","987.446",""
"Turkey","2012","Mil. USD","10856.451052376",""
"Turkey","2012","Thousand units","858.188",""
"Turkey","2011","Mil. USD","12297.1703608058",""
"Turkey","2011","Thousand units","935.988",""
"Turkey","2010","Mil. USD","11160.1316376008",""
"Turkey","2010","Thousand units","886.201",""
"Turkey","2009","Mil. USD","9561.99008044267",""
"Turkey","2009","Thousand units","753.276",""
"Turkey","2008","Mil. USD","12159.2286672868",""
"Turkey","2008","Thousand units","900.389",""
"Turkey","2007","Mil. USD","11728.4039678501",""
"Turkey","2007","Thousand units","856.651",""
"Turkey","2006","Mil. USD","9489.42392760295",""
"Turkey","2006","Thousand units","758.424",""
"Turkey","2005","Mil. USD","8246.60561098031",""
"Turkey","2005","Thousand units","649.273",""
"Ukraine","2014","Thousand units","25.941",""
"Ukraine","2013","Thousand units","45.757",""
"Ukraine","2012","Thousand units","69.688",""
"Ukraine","2011","Thousand units","97.507",""
"Ukraine","2010","Thousand units","75.27",""
"Ukraine","2009","Thousand units","65.662",""
"Ukraine","2008","Thousand units","401.593",""
"Ukraine","2007","Thousand units","380.141",""
"Ukraine","2006","Thousand units","267.319",""
"Ukraine","2005","Thousand units","192.234",""
"Ukraine","2004","Thousand units","173.691",""
"Ukraine","2003","Thousand units","98.319",""
"Ukraine","2002","Thousand units","43.777",""
"Ukraine","2001","Thousand units","26.247",""
"Ukraine","2000","Thousand units","17.137",""
"Ukraine","1999","Thousand units","9.723",""
"Ukraine","1998","Thousand units","25.844",""
"Ukraine","1997","Thousand units","1.973",""
"Ukraine","1996","Thousand units","6.94",""
"Ukraine","1995","Thousand units","58.721",""
"United Kingdom","2014","Mil. USD","50122.6180964187",""
"United Kingdom","2014","Thousand units","1573.47",""
"United Kingdom","2013","Mil. USD","44401.6732886734",""
"United Kingdom","2013","Thousand units","1528.842",""
"United Kingdom","2012","Mil. USD","36188.7214609357",""
"United Kingdom","2012","Thousand units","1488.1",""
"United Kingdom","2011","Mil. USD","35431.1798266576",""
"United Kingdom","2011","Thousand units","1391.436",""
"United Kingdom","2009","Mil. USD","23255.0132842261",""
"United Kingdom","2009","Thousand units","1104.289",""
"United Kingdom","2008","Mil. USD","35783.1004046737",""
"United Kingdom","2008","Thousand units","1545.885",""
"United Kingdom","2007","Mil. USD","42316.9487399245",""
"United Kingdom","2007","Thousand units","1785.847",""
"United Kingdom","2006","Mil. USD","35009.3206825068",""
"United Kingdom","2006","Thousand units","1655.512",""
"United Kingdom","2005","Mil. USD","37121.4870348092",""
"United Kingdom","2005","Thousand units","1947.184",""
"United Kingdom","1999","Mil. USD","31320.7436445429","7"
"United Kingdom","1999","Thousand units","2207.979","7"
"Uruguay","2013","Mil. USD","145.160475295545",""
"Uruguay","2013","Thousand units","11.209",""
"Uruguay","2012","Mil. USD","16.3811212657149",""
"Uruguay","2012","Thousand units","1.936",""
"Uruguay","2010","Mil. USD","70.5748338362179",""
"Uruguay","2010","Thousand units","6.53",""
"Uruguay","2003","Mil. USD","0.967679160258574",""
"Uruguay","2001","Mil. USD","91.6585634983048",""
"Uruguay","2000","Mil. USD","128.280060803374",""
"Uruguay","1999","Mil. USD","105.99015452012",""
"Uruguay","1998","Mil. USD","164.117475756427",""
"Uruguay","1997","Mil. USD","55.1206579287568",""
"Uzbekistan","2016","Mil. USD","756.193320754371",""
"Uzbekistan","2016","Thousand units","85.741",""
"Venezuela (Bolivarian Republic of)","2008","Thousand units","88.1","4"
"Venezuela (Bolivarian Republic of)","2007","Thousand units","120","4"
"Venezuela (Bolivarian Republic of)","2006","Thousand units","120.4","4"
"Venezuela (Bolivarian Republic of)","2005","Thousand units","139.2","4"
"Venezuela (Bolivarian Republic of)","2004","Thousand units","24.4","4"
"Viet Nam","2016","Mil. USD","53.981892515974",""
"Viet Nam","2016","Thousand units","254.9",""
"Viet Nam","2015","Mil. USD","53.5640688754626",""
"Viet Nam","2015","Thousand units","192.849",""
"Viet Nam","2014","Thousand units","134.009",""
"Viet Nam","2013","Thousand units","101.064",""
"Viet Nam","2012","Thousand units","86.916",""
"Viet Nam","2011","Thousand units","108.174",""
"Viet Nam","2010","Thousand units","112.3",""
"Viet Nam","2009","Thousand units","112.461",""
"Viet Nam","2008","Thousand units","104.75",""
"Viet Nam","2007","Thousand units","71.892",""
"Viet Nam","2006","Thousand units","47.576",""
"Viet Nam","2005","Thousand units","59.152",""
"Viet Nam","2004","Thousand units","50.954",""
"Viet Nam","2003","Thousand units","47.701",""
"Viet Nam","2002","Thousand units","29.536",""
"Viet Nam","2001","Thousand units","20.526",""
"Viet Nam","2000","Thousand units","13.547",""
"Viet Nam","1999","Thousand units","5.915",""
"Viet Nam","1998","Thousand units","4.95",""
"Viet Nam","1997","Thousand units","6.535",""
"Viet Nam","1996","Thousand units","5.806",""
"Viet Nam","1995","Thousand units","3.524",""

"fnSeqID","Footnote"
"1","Including buses."
"2","Twelve months ending 30 June of year stated."
"3","Calculated by the Statistics Division of the United Nations, based on Prodcom data."
"4","Source: United Nations Economic Commission for Latin America and the Caribbean (Santiago)."
"5","Source: Bulletin of Industrial Statistics for the Arab Countries, United Nations Economic and Social Commission for Western Asia (Beirut)."
"6","Break in series; data prior to the sign not comparable to following years."
"7","Excluding Prodcom 2002 code 34.10.21.33."
